Product_Name_Extracted,Price,Type,Source,Product_Name_Clean,Price_Numeric
"Samsung Galaxy S26 Plus 5G (Black, 12GB RAM, 256GB Storage), AI Phone, Photo Assist, Creative Studio, 50MP Camera, 4900mAh Battery and Super Fast Wireless Charging","1,19,999",Mobile,Amazon,samsung galaxy s26 plus 5g black 12gb ram 256gb storage ai phone photo assist creative studio 50mp camera 4900mah battery and super fast wireless charging,119999.0
"Samsung Galaxy M56 5G Mobile (Black, 8GB RAM, 128GB Storage)| Segment's Slimmest | Gorilla Glass Victus+| 10 Bit HDR Video| 50MP Camera| AI | Vapour Cooling Chamber| Lag-Free Gaming| Without Charger","22,999",Mobile,Amazon,samsung galaxy m56 5g mobile black 8gb ram 128gb storage segments slimmest gorilla glass victus 10 bit hdr video 50mp camera ai vapour cooling chamber lagfree gaming without charger,22999.0
"Motorola G57 Power 5G (Corsair, 8GB RAM, 128GB Storage) | Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64","15,199",Mobile,Amazon,motorola g57 power 5g corsair 8gb ram 128gb storage snapdragon 6s gen 4 processor 672 fhd display 50mp lyt600 8mp ultrawide 8mp selfie camera 7000mah battery 33w turbopower ip64,15199.0
OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 256GB 8GB | Phantom Grey,"33,999",Mobile,Amazon,oneplus nord 5 snapdragon 8s gen 3 stable 144fps gaming dual 50mp flagship camera powered by oneplus ai 256gb 8gb phantom grey,33999.0
"POCO C71, Desert Gold (6GB, 128GB)","9,998",Mobile,Amazon,poco c71 desert gold 6gb 128gb,9998.0
Redmi A5 Jaisalmer Gold (3GB RAM 64GB Storage) | Royale Design | Segment's Largest 17.47cm(6.88) and Smoothest 120Hz Display | 5200mAh Large Battery | Expandable Storage up to 2TB,"7,999",Mobile,Amazon,redmi a5 jaisalmer gold 3gb ram 64gb storage royale design segments largest 1747cm688 and smoothest 120hz display 5200mah large battery expandable storage up to 2tb,7999.0
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64","14,920",Mobile,Amazon,motorola g57 power 5g fluidity 8gb ram 128gb storage snapdragon 6s gen 4 processor 672 fhd display 50mp lyt600 8mp ultrawide 8mp selfie camera 7000mah battery 33w turbopower ip64,14920.0
"Samsung Galaxy M56 5G Mobile (Black, 8GB RAM, 256GB Storage)| Segment's Slimmest | Gorilla Glass Victus+| 10 Bit HDR Video| 50MP Camera| AI | Vapour Cooling Chamber| Lag-Free Gaming| Without Charger","25,999",Mobile,Amazon,samsung galaxy m56 5g mobile black 8gb ram 256gb storage segments slimmest gorilla glass victus 10 bit hdr video 50mp camera ai vapour cooling chamber lagfree gaming without charger,25999.0
"Samsung Galaxy M17e 5G Mobile (Blitz Blue, 4GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger","13,999",Mobile,Amazon,samsung galaxy m17e 5g mobile blitz blue 4gb ram 128gb storage smoothest 120 hz refresh rate monster 6000 mah battery ip54 6 gen os upgrades ai gemini live without charger,13999.0
"Samsung Galaxy M17 5G Mobile (Sapphire Black, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger","13,999",Mobile,Amazon,samsung galaxy m17 5g mobile sapphire black 4gb ram 128gb storage 50mp ois triple camera gorilla glass victus ip54 6 gen os upgrades ai gemini live lagfree gaming without charger,13999.0
"REDMI Note 15 Pro+ 5G (Coffee Mocha, 12GB + 256GB) | 200MasterPixel OIS Camera | Snapdragon 7s Gen 4 | CrystalRes AMOLED | IP69/69K | 6500mAh Si/C Battery | 100W HyperCharge","39,999",Mobile,Amazon,redmi note 15 pro 5g coffee mocha 12gb 256gb 200masterpixel ois camera snapdragon 7s gen 4 crystalres amoled ip6969k 6500mah sic battery 100w hypercharge,39999.0
"Samsung Galaxy S26 Ultra 5G (White, 12GB RAM, 256GB Storage) with Built-in Privacy Display, AI Phone, Photo Assist, Creative Studio, 200MP Camera, 5000mAh Battery and Snapdragon 8 Elite Gen 5","1,39,999",Mobile,Amazon,samsung galaxy s26 ultra 5g white 12gb ram 256gb storage with builtin privacy display ai phone photo assist creative studio 200mp camera 5000mah battery and snapdragon 8 elite gen 5,139999.0
"OnePlus 13R| Smarter with OnePlus AI (12GB RAM, 256GB Storage Nebula Noir)","39,996",Mobile,Amazon,oneplus 13r smarter with oneplus ai 12gb ram 256gb storage nebula noir,39996.0
"Lava Bold N2 (Siachen White, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box","7,999",Mobile,Amazon,lava bold n2 siachen white 4 gb ram 64 gb storage 13mp ai dual rear camera largest 675 hd display 5000 mah battery 10w charging ip64 water dust proof charger phonecase in box,7999.0
"iQOO Z10R 5G (Aquamarine, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu Score","26,998",Mobile,Amazon,iqoo z10r 5g aquamarine 12gb ram 256gb storage 32mp 4k selfie camera quadcurved amoled display dimensity 7400 processor with 750k antutu score,26998.0
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof","19,999",Mobile,Amazon,realme narzo 80 pro 5g speed silver8gb256gb segments 1st mediatek dimensity 7400 chipset 6000mah titan battery 80w ultra charge 4500nits hyperglow esports display ip69 waterproof,19999.0
"vivo T4 5G (Emerald Blaze, 12GB RAM+256GB Storage)| Snapdragon 7s Gen 3 | 120Hz Quad-Curved AMOLED | 7300mAh+90W Fast Charge | 50MP Sony OIS Camera | Military Grade Build | AI Photo Enhance | AI Erase","28,189",Mobile,Amazon,vivo t4 5g emerald blaze 12gb ram256gb storage snapdragon 7s gen 3 120hz quadcurved amoled 7300mah90w fast charge 50mp sony ois camera military grade build ai photo enhance ai erase,28189.0
Redmi 15 5G Midnight Black 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,"19,499",Mobile,Amazon,redmi 15 5g midnight black 8gb 256gb segments largest 7000maha battery segments largest display 1753cm69 up to 144hz snapdragon 6s gen 3 18w reverse charging 50mp ai dual camera,19499.0
"Motorola G35 5G (Leaf Green, 4+128)","12,395",Mobile,Amazon,motorola g35 5g leaf green 4128,12395.0
"Motorola G96 144Hz 3D Curved pOLED (ASHLEIGHBLUE, 8GB RAM, 128GB Storage)","18,099",Mobile,Amazon,motorola g96 144hz 3d curved poled ashleighblue 8gb ram 128gb storage,18099.0
"Samsung Galaxy S26 Plus 5G (Black, 12GB RAM, 512GB Storage), AI Phone, Photo Assist, Creative Studio, 50MP Camera, 4900mAh Battery and Super Fast Wireless Charging","1,39,999",Mobile,Amazon,samsung galaxy s26 plus 5g black 12gb ram 512gb storage ai phone photo assist creative studio 50mp camera 4900mah battery and super fast wireless charging,139999.0
OnePlus 15R | 12GB+512GB | Mint Breeze | World's First Snapdragon® 8 Gen 5 | 7400mAh Battery | Personalised AI | Game-Changing 165Hz Display | IP68 IP69 IP66 & IP69K | 4K 120fps Video,"52,997",Mobile,Amazon,oneplus 15r 12gb512gb mint breeze worlds first snapdragon 8 gen 5 7400mah battery personalised ai gamechanging 165hz display ip68 ip69 ip66 ip69k 4k 120fps video,52997.0
"Motorola G57 Power 5G (Regatta, 8GB RAM, 128GB Storage) | Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64","14,870",Mobile,Amazon,motorola g57 power 5g regatta 8gb ram 128gb storage snapdragon 6s gen 4 processor 672 fhd display 50mp lyt600 8mp ultrawide 8mp selfie camera 7000mah battery 33w turbopower ip64,14870.0
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB) (6 GB RAM)","14,996",Mobile,Amazon,oppo k13x 5g 6000mah and 45w supervooc charger ai breeze blue 128 gb 6 gb ram,14996.0
OnePlus 15 | 12GB+256GB | Ultra Violet | India's First Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalised AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,"72,999",Mobile,Amazon,oneplus 15 12gb256gb ultra violet indias first snapdragon 8 elite gen 5 7300mah battery personalised ai gamechanging 165hz display triple 50mp camera with 4k 120fps dolby vision,72999.0
"Samsung Galaxy M36 5G Mobile (Serene Green, 8GB RAM, 128GB Storage) | Google Gemini| Gorilla Glass Victus+ | 7.7mm | AI Enhanced 50MP OIS Triple Camera| Nightography| Lag-free Gaming | Without Charger","18,999",Mobile,Amazon,samsung galaxy m36 5g mobile serene green 8gb ram 128gb storage google gemini gorilla glass victus 77mm ai enhanced 50mp ois triple camera nightography lagfree gaming without charger,18999.0
OnePlus Nord CE5 | MediaTek Dimensity | Massive 7100mAh Battery | Powered by OnePlus AI | 8GB + 128GB | Nexus Blue,"24,996",Mobile,Amazon,oneplus nord ce5 mediatek dimensity massive 7100mah battery powered by oneplus ai 8gb 128gb nexus blue,24996.0
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB) (8 GB RAM)","14,899",Mobile,Amazon,oppo k13x 5g 6000mah and 45w supervooc charger ai midnight violet 128 gb 8 gb ram,14899.0
"realme NARZO 90x 5G (Flash Blue,8GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in The Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker","16,999",Mobile,Amazon,realme narzo 90x 5g flash blue8gb128gb 7000mah 60w biggest battery fastest charging in the segment 144hz bright display sony 50mp ai rear camera ai assist 400 ultra boom speaker,16999.0
"iQOO 15R (Triumph Silver, 12GB RAM, 256GB Storage) | Snapdragon® 8 Gen 5 Processor | India’s Slimmest Smartphone in 7600mAh Battery* | Segment's Most Stable 144FPS Gaming*","47,998",Mobile,Amazon,iqoo 15r triumph silver 12gb ram 256gb storage snapdragon 8 gen 5 processor indias slimmest smartphone in 7600mah battery segments most stable 144fps gaming,47998.0
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365*Office24, Glacier Silver, 1.59kg, fb0001QU, Backlit, Next-Gen AI Laptop","73,500",Laptop,Amazon,hp omnibook 5 oled previously pavilion snapdragon x processor 16gb lpddr5x1tb ssd 2k oled16406cm win11 m365office24 glacier silver 159kg fb0001qu backlit nextgen ai laptop,73500.0
"HP Smartchoice OmniBook 5 (Previously Pavilion) 50 Tops, AMD Ryzen AI 5 340 (16GB LPDDR5X, 512GB SSD) WUXGA 2K, 16''/40.6cm, Win11, Office24, Silver, 1.79kg, ag1037au, Next Gen AI Copilot+ Laptop","69,990",Laptop,Amazon,hp smartchoice omnibook 5 previously pavilion 50 tops amd ryzen ai 5 340 16gb lpddr5x 512gb ssd wuxga 2k 16406cm win11 office24 silver 179kg ag1037au next gen ai copilot laptop,69990.0
"HP 15, 13th Gen Intel Core i3-1315U, (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD,15.6''/39.6cm, Win11,M365 Basic(1yr),Office24, Silver,1.59kg, fd0572TU, FHD Camera w/Shutter, Backlit Laptop","42,990",Laptop,Amazon,hp 15 13th gen intel core i31315u 8gb ddr4512gb ssd antiglare microedge fhd156396cm win11m365 basic1yroffice24 silver159kg fd0572tu fhd camera wshutter backlit laptop,42990.0
"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4,512GB SSD) FHD, Anti-Glare,Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver,1.59kg, fd0467tu, Iris Xe, FHD Camera w/Shutter, Backlit Laptop","57,990",Laptop,Amazon,hp 15 13th gen intel core i51335u 16gb ddr4512gb ssd fhd antiglaremicroedge 156396cm win11 m3651yr office24 silver159kg fd0467tu iris xe fhd camera wshutter backlit laptop,57990.0
"HP 15, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 15''/39.6cm, Win11, M365* Office24, Silver, 1.65kg, FD1458TU, FHD Camera, Backlit, Touch Laptop","77,990",Laptop,Amazon,hp 15 intel core ultra 5 125h 24gb ddr5 1tb ssd microedge antiglare fhd 15396cm win11 m365 office24 silver 165kg fd1458tu fhd camera backlit touch laptop,77990.0
"ASUS Vivobook 15, Intel Core i7 13th Gen 13620H, 16GB RAM, 1TB SSD, FHD 15.6"", Windows 11, Office Home 2024, Cool Silver, 1.7Kg, X1502VA-BQ1299WS, Intel UHD GPU, 42Whr, M365 Basic (1Year)* Laptop","67,990",Laptop,Amazon,asus vivobook 15 intel core i7 13th gen 13620h 16gb ram 1tb ssd fhd 156 windows 11 office home 2024 cool silver 17kg x1502vabq1299ws intel uhd gpu 42whr m365 basic 1year laptop,67990.0
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop","50,990",Laptop,Amazon,lenovo ideapad slim 3 12th gen intel core i512450h 16gb lpddr5 512gb ssd antiglare fhd 156396cm win 11 office home 2024 arctic grey 162kg 83er00mdin thin light backlit kb laptop,50990.0
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 14"", 60Hz,42WHrs, Windows 11, M365 Basic (1Year)*,Office Home 2024, Mixed Black, 1.38 kg, E1404FA-EB774WS, Thin & Light Laptop","43,490",Laptop,Amazon,asus vivobook go 14 amd ryzen 5 7520u 16gb ram 512gb ssd fhd 14 60hz42whrs windows 11 m365 basic 1yearoffice home 2024 mixed black 138 kg e1404faeb774ws thin light laptop,43490.0
"acer Nitro V 15 Gaming Laptop 15.6"" FHD IPS 165Hz Intel 8-core i5-13420H 16GB RAM 512GB SSD GeForce RTX 5050 GDDR7 DLSS4 (Up to 440 AI Tops) Backlit Thunderbolt WiFi6 Win11 ICP Hub","1,09,990",Laptop,Amazon,acer nitro v 15 gaming laptop 156 fhd ips 165hz intel 8core i513420h 16gb ram 512gb ssd geforce rtx 5050 gddr7 dlss4 up to 440 ai tops backlit thunderbolt wifi6 win11 icp hub,109990.0
"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS,RTX 3050-4GB,75W TGP,16GB DDR5(Upgradeable Upto 64GB) 512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,Windows 11,Graphite Black,2.3 Kg FA506NCG-HN199W, Gaming Laptop","71,990",Laptop,Amazon,asus tuf a15 2025 amd ryzen 7 7445hsrtx 30504gb75w tgp16gb ddr5upgradeable upto 64gb 512gb ssdfhd156144hzrgb keyboardwindows 11graphite black23 kg fa506ncghn199w gaming laptop,71990.0
"Primebook 2 Pro 2026 (New Launch) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","23,490",Laptop,Amazon,primebook 2 pro 2026 new launch 8gb ram 128gb ufs storage 141inch fhd ips display 14 hours battery mediatek helio g99 android 15 primeos 30 backlit keyboard inbuilt ai gray,23490.0
"Primebook 2 Max 2026 (New Launch) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","28,990",Laptop,Amazon,primebook 2 max 2026 new launch 8gb ram 256gb ufs storage 156inch full hd ips display 12hrs battery mediatek helio g99 android 15 primeos 30 backlit keyboard inbuilt ai gray,28990.0
"HP Professional 14 (2026), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Turbo Silver/1.4 Kg/MSO 2024","41,909",Laptop,Amazon,hp professional 14 2026 intel core i3 13th gen 1315u 8 gb512 gb ssdintel graphicswindows 11 pro thin and light business laptop140 hd displayturbo silver14 kgmso 2024,41909.0
"HP Victus, AMD Ryzen 7 7445HS, 4GB RTX 2050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15.6'', Win11, M365* Office24, Blue, 2.29kg, fb3189ax /3122/ 23ax Backlit, Gaming Laptop","61,990",Laptop,Amazon,hp victus amd ryzen 7 7445hs 4gb rtx 2050 16gb ddr5upgradeable 512gb ssd fhd 144hz 300 nits ips 156 win11 m365 office24 blue 229kg fb3189ax 3122 23ax backlit gaming laptop,61990.0
"acer Aspire 3, Intel Pentium N6000, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop","34,800",Laptop,Amazon,acer aspire 3 intel pentium n6000 12gb lpddr4x ram 512gb ssd hd 1563962cm windows 11 home pure silver 15kg a32545 thin and light laptop,34800.0
"ASUS Chromebook CX1405 (2026), Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","25,990",Laptop,Amazon,asus chromebook cx1405 2026 intel n50 processor intel uhd igpu 8gb ram 128gb ssd fhd 14 355 cm chrome os pure grey 139 kg cx1405ctas60622 42whrs thin light laptop,25990.0
"HP Business 250R G10 (2025) Thin & Light Laptop with Intel Core 3 14th Gen 100U, 16GB RAM, 512GB SSD, 15.6″ IPS Display, Copilot Key, Windows 11 Pro & MS Office 2024, Turbo Silver (1.5 kg)","48,990",Laptop,Amazon,hp business 250r g10 2025 thin light laptop with intel core 3 14th gen 100u 16gb ram 512gb ssd 156 ips display copilot key windows 11 pro ms office 2024 turbo silver 15 kg,48990.0
"ASUS Vivobook 14 (2025),13th Gen, Intel Core i3-1315U, 8GB RAM, 512GB SSD, FHD, 14"", (35.5 cm) Windows 11 Home, M365 Basic(1 Year)* Office 2024,Cool Silver,1.4 Kg, X1404VA-EB321WS, Thin & Light Laptop","43,400",Laptop,Amazon,asus vivobook 14 202513th gen intel core i31315u 8gb ram 512gb ssd fhd 14 355 cm windows 11 home m365 basic1 year office 2024cool silver14 kg x1404vaeb321ws thin light laptop,43400.0
"Dell SmartChoice G15, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, (16GB RAM 1TB SSD) FHD 15.6""/39.62 cm, Orange Backlit Keyboard, Windows 11, Microsoft Office Home 2024, 2.65Kg Gaming Laptop","78,990",Laptop,Amazon,dell smartchoice g15 13th gen intel core i513450hx nvidia rtx 30506gb 16gb ram 1tb ssd fhd 1563962 cm orange backlit keyboard windows 11 microsoft office home 2024 265kg gaming laptop,78990.0
"acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","32,990",Laptop,Amazon,acer smartchoice aspire 3 laptop intel core celeron n4500 processor laptop 8 gb lpddr4x sdram256 gb ssdwin11 home38 whrhd webcam a32545 with 3963 cm 156 hd display pure silver 15 kg,32990.0
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN","61,649",Laptop,Amazon,lenovo ideapad slim 3 13th gen intel core i513420h 153388cm wuxga ips laptop16gb ram512gb ssdwin 11office home 2024backlit1yr adp freetop metal cover ir cameragrey16kg 83k100cgin,61649.0
"ThinkPad L430 Business Laptop | Core i5-3320M | 8GB RAM | 128GB SSD | Win10 Pro | 14inch | Office Ready (8, GB)","12,990",Laptop,Amazon,thinkpad l430 business laptop core i53320m 8gb ram 128gb ssd win10 pro 14inch office ready 8 gb,12990.0
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop","51,990",Laptop,Amazon,asus vivobook 15 smartchoice amd ryzen 7 5825u 16gb ram 512gb ssd fhd 156 windows 11 office home 2024 quiet blue 17kg m1502yabq703ws amd radeon igpu m365 basic 1year 42whr laptop,51990.0
"Model 5400 Corporate Laptop | i5 8th Gen | 8GB RAM | 256GB SSD | 14"" FHD | Win 10 | A+ Grade (Refab)","25,550",Laptop,Amazon,model 5400 corporate laptop i5 8th gen 8gb ram 256gb ssd 14 fhd win 10 a grade refab,25550.0
"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA07QIH","49,999",Laptop,Amazon,lenovo v15 12th gen intel core i51235u 156 fhd thin and light laptop 8gb ram512gb ssdwindows 11 homems office home student 2021iron grey170 kg 82tta07qih,49999.0
"acer Professional 14, AMD Ryzen 3-7330U, 8GB RAM, 512GB SSD, 14"" Full HD,UHD Graphics, Premium Metal Body, Windows 11 Pro, MSO 21, 1.34KG, Travel Lite, TL14-42M, Light Laptop 8GB RAM","36,990",Laptop,Amazon,acer professional 14 amd ryzen 37330u 8gb ram 512gb ssd 14 full hduhd graphics premium metal body windows 11 pro mso 21 134kg travel lite tl1442m light laptop 8gb ram,36990.0
"HP Professional 14 (2025), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Turbo Silver/1.4 Kg/MSO 2021","42,010",Laptop,Amazon,hp professional 14 2025 intel core i3 13th gen 1315u 8 gb512 gb ssdintel uhd graphicswindows 11 pro thin and light business laptop140 hd displayturbo silver14 kgmso 2021,42010.0
"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","42,990",Laptop,Amazon,acer smartchoice aspire lite amd ryzen 55625u processor 16 gb512 gb full hd 1563962 cm windows 11 home steel gray 159 kg al1541 metal body thin and light laptop,42990.0
"HP Omen, AMD Ryzen AI 7 350, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16'(40.6cm) Win11, M365* Office24, Black, 2.44kg, ap0165AX, RGB, AI Gaming Laptop","1,27,990",Laptop,Amazon,hp omen amd ryzen ai 7 350 8gb rtx 5050 24gb ddr5upgradeable 1tb ssd 165hz 2k wuxga 3ms 400 nits 16406cm win11 m365 office24 black 244kg ap0165ax rgb ai gaming laptop,127990.0
